DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Ldr Pos,Score,Top 20,Top 10,Top 5,Win%,Make Cut %,Tee Time,Eagles,Birdies,Bogeys,Pars,Dbl Bogeys,Birdie Streaks,Bogey Free Rounds
43697396,Cameron Young,G,Golf,GOLF,,10500,0,88.38,,88.38,8.417142857142858,34.64,28.557539693756972,0,100,,,88.3842,72,92.5,112.5,123,141.5,157.5,95.1513,74,100.7,123.02,135,153.5,169.7,84.3326,65.9,89.4,108.5,118.3,137.7,154.9,,,,,,,,34.7,39.17,35.13,,,,0.5402,0.378,0.2572,7.3%,0.7954,2026-07-30T12:54:00,0.7081,18.4224,6.6652,38.036,0.6948,0.8333,0.3981
43697397,Xander Schauffele,G,Golf,GOLF,,10200,0,82.71,,82.71,8.108823529411763,18.29,17.26405615093235,0,100,,,82.7105,63,87.5,105.5,117,135,153.5,88.7792,61.18,94.4,115.7,127.8,147.3,166.4,78.6189,54,83.6,102.8,112.4,130.4,151.3,,,,,,,,33.76,38.19,34.2,,,,0.4561,0.2979,0.1837,4.4%,0.7595,2026-07-30T07:44:00,0.6406,17.5809,6.7785,37.4889,0.7369,0.7474,0.3457
43697398,Chris Gotterup,G,Golf,GOLF,,9800,0,82.24,,82.24,8.391836734693877,22.35,22.032442740943406,0,100,,,82.2387,59,87.5,105,116,135.5,153.5,88.2322,56.57,94.4,115.4,127.3,147.2,166.2,78.231,50.1,84,102.7,112.1,130.31,150.3,,,,,,,,34.13,38.63,34.63,,,,0.456,0.2984,0.1849,4.6%,0.7534,2026-07-30T07:44:00,0.638,17.4029,6.7767,37.4905,0.7069,0.743,0.3557
43697399,Si Woo Kim,G,Golf,GOLF,,9600,0,81.66,,81.66,8.50625,22.89,26.908981847516728,0,100,,,81.6578,45,87,104.5,115,133.5,152,87.5603,49.1,94,114.3,126.4,145.8,165.3,77.6146,41.22,83.4,101.7,111.2,128.6,150.4,,,,,,,,33.91,38.38,34.39,,,,0.4538,0.2888,0.1733,4%,0.7453,2026-07-30T07:55:00,0.6489,17.3384,6.7799,37.22,0.726,0.7405,0.3454
43697403,Patrick Cantlay,G,Golf,GOLF,,9100,0,79.04,,79.04,8.685714285714287,25.4,30.769027802953325,0,100,,,79.0426,42,84.5,101,111.5,131,150.5,84.5869,45.2,90.6,110.4,122.11,142.7,164,74.8827,38.5,80.3,98.4,107.9,125.11,148.7,,,,,,,,33.03,37.4,33.52,,,,0.3923,0.2403,0.1398,3.2%,0.7345,2026-07-30T13:05:00,0.6075,16.9855,6.8994,37.0712,0.7611,0.7055,0.3227
43697402,Russell Henley,G,Golf,GOLF,,9200,0,78.17,,78.17,8.496739130434783,18.68,22.285382439057173,0,100,,,78.1697,40,84,100,111,129.5,148.5,83.619,42.9,89.8,109.52,121.2,140.9,160.3,73.9654,37.02,79.7,97.8,107.7,123.6,144.7,,,,,,,,32.91,37.26,33.29,,,,0.3752,0.2289,0.1367,2.7%,0.7228,2026-07-30T12:43:00,0.6032,16.8178,6.8356,36.8789,0.7551,0.6997,0.3142
43697407,J.J. Spaun,G,Golf,GOLF,,8700,0,77.65,,77.65,8.92528735632184,28.56,35.59558553733766,0,100,,,77.6486,40,83.5,99.5,109.5,128.5,148,82.9762,42.7,89.6,108.9,119.8,140.2,161.6,73.5355,36.6,79.3,97.3,106.51,122.9,147.1,,,,,,,,32.82,37.15,33.33,,,,0.3802,0.2258,0.1258,2.6%,0.7201,2026-07-30T12:54:00,0.606,16.7202,6.8942,36.829,0.7501,0.6795,0.3081
43697400,Jackson Koivun,G,Golf,GOLF,,9400,0,77.52,,77.52,8.246808510638298,12.92,14.808846523600515,0,100,,,77.5171,39,83.5,100,110,129.5,148.5,82.8112,41.9,89,109.1,121.1,141.31,161.5,73.3298,36,79.2,97.5,107.1,123.9,145.7,,,,,,,,33.14,37.53,33.68,,,,0.3804,0.2327,0.135,2.8%,0.7146,2026-07-30T07:33:00,0.6093,16.6384,6.8443,36.7445,0.767,0.6792,0.312
43697405,Ben Griffin,G,Golf,GOLF,,8900,0,77.33,,77.33,8.68876404494382,22.16,27.110289206356487,0,100,,,77.3288,39,83.5,99.5,109.5,129,148,82.5992,41.8,89.3,108.8,120.32,140.4,160.9,73.3054,36,79.3,97.5,107,123.9,146,,,,,,,,33.08,37.48,33.69,,,,0.3879,0.2296,0.1289,2.8%,0.716,2026-07-30T12:54:00,0.6086,16.5846,6.8966,36.8354,0.734,0.6715,0.3142
43697401,Wyndham Clark,G,Golf,GOLF,,9300,0,76.61,,76.61,8.237634408602151,12.26,14.054248376723129,0,100,,,76.6061,38,82.5,100,110,129.5,149.5,81.7569,39.9,88,109.3,120.9,141.11,161.6,72.3844,34.6,78.2,97.4,107.3,124.2,146.1,,,,,,,,33.77,38.15,34.33,,,,0.3793,0.2284,0.139,2.9%,0.6994,2026-07-30T07:33:00,0.5974,16.4352,6.8165,36.447,0.7576,0.6728,0.3055
43697404,Hideki Matsuyama,G,Golf,GOLF,,9000,0,75.99,,75.99,8.443333333333332,12.84,14.683712990607663,0,100,,,75.9904,38.5,82,98.5,108,126.5,145,81.0718,40.5,87.5,107.6,118.4,138.01,158.5,71.8185,34.9,77.75,96.1,105.3,121.3,141.7,,,,,,,,32.56,36.91,33.12,,,,0.3514,0.2102,0.1141,2.5%,0.7059,2026-07-30T12:43:00,0.592,16.3972,6.8764,36.6479,0.7738,0.6517,0.294
