Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
G,Cameron Young (43746486),Cameron Young,43746486,G,10400,Wyndham Championship,Golf,83,
G,Jackson Koivun (43746487),Jackson Koivun,43746487,G,10100,Wyndham Championship,Golf,81.7,
G,Patrick Cantlay (43746488),Patrick Cantlay,43746488,G,10000,Wyndham Championship,Golf,67.8,OUT
G,Hideki Matsuyama (43746489),Hideki Matsuyama,43746489,G,9500,Wyndham Championship,Golf,77.7,
G,Justin Thomas (43746490),Justin Thomas,43746490,G,9400,Wyndham Championship,Golf,67.9,
G,Ryan Gerard (43746491),Ryan Gerard,43746491,G,9300,Wyndham Championship,Golf,76.1,
G,Tom Kim (43746492),Tom Kim,43746492,G,9200,Wyndham Championship,Golf,71.9,
G,Ben Griffin (43746493),Ben Griffin,43746493,G,9100,Wyndham Championship,Golf,64.6,
G,Maverick McNealy (43746494),Maverick McNealy,43746494,G,9000,Wyndham Championship,Golf,71.8,
G,Keegan Bradley (43746495),Keegan Bradley,43746495,G,8900,Wyndham Championship,Golf,63.8,
G,Aaron Rai (43746496),Aaron Rai,43746496,G,8800,Wyndham Championship,Golf,59.1,
G,Alex Fitzpatrick (43746497),Alex Fitzpatrick,43746497,G,8700,Wyndham Championship,Golf,75.2,
G,Michael Brennan (43746498),Michael Brennan,43746498,G,8600,Wyndham Championship,Golf,62.5,
G,Brooks Koepka (43746499),Brooks Koepka,43746499,G,8500,Wyndham Championship,Golf,57.8,
G,Davis Thompson (43746500),Davis Thompson,43746500,G,8400,Wyndham Championship,Golf,63.2,
G,Harris English (43746501),Harris English,43746501,G,8300,Wyndham Championship,Golf,66.6,
G,Brian Harman (43746502),Brian Harman,43746502,G,8200,Wyndham Championship,Golf,63.9,
G,Mac Meissner (43746503),Mac Meissner,43746503,G,8100,Wyndham Championship,Golf,66.7,
G,Jordan Spieth (43746504),Jordan Spieth,43746504,G,8000,Wyndham Championship,Golf,65.4,
G,Keith Mitchell (43746505),Keith Mitchell,43746505,G,7900,Wyndham Championship,Golf,71.8,
G,Alex Noren (43746506),Alex Noren,43746506,G,7900,Wyndham Championship,Golf,60.1,
G,Doug Ghim (43746507),Doug Ghim,43746507,G,7800,Wyndham Championship,Golf,65.8,
G,Blades Brown (43746508),Blades Brown,43746508,G,7800,Wyndham Championship,Golf,82.5,
G,Sungjae Im (43746509),Sungjae Im,43746509,G,7700,Wyndham Championship,Golf,58.6,
G,Ben Kohles (43746510),Ben Kohles,43746510,G,7700,Wyndham Championship,Golf,71,
G,Alex Smalley (43746511),Alex Smalley,43746511,G,7600,Wyndham Championship,Golf,66.3,
G,Rasmus Højgaard (43746512),Rasmus Højgaard,43746512,G,7600,Wyndham Championship,Golf,61.1,
G,Jordan L. Smith (43746513),Jordan L. Smith,43746513,G,7500,Wyndham Championship,Golf,63.1,
G,Matt Wallace (43746514),Matt Wallace,43746514,G,7500,Wyndham Championship,Golf,67.9,
G,Christiaan Bezuidenhout (43746515),Christiaan Bezuidenhout,43746515,G,7500,Wyndham Championship,Golf,70.8,
G,J.T. Poston (43746516),J.T. Poston,43746516,G,7400,Wyndham Championship,Golf,62.1,
G,Chris Kirk (43746517),Chris Kirk,43746517,G,7400,Wyndham Championship,Golf,57,
G,Bud Cauley (43746518),Bud Cauley,43746518,G,7400,Wyndham Championship,Golf,64.7,
G,Benjamin James (43746519),Benjamin James,43746519,G,7400,Wyndham Championship,Golf,69.9,
G,Eric Cole (43746520),Eric Cole,43746520,G,7400,Wyndham Championship,Golf,64.9,
G,Max Greyserman (43746521),Max Greyserman,43746521,G,7400,Wyndham Championship,Golf,57,
G,Michael Kim (43746522),Michael Kim,43746522,G,7300,Wyndham Championship,Golf,61.6,
G,Ryo Hisatsune (43746523),Ryo Hisatsune,43746523,G,7300,Wyndham Championship,Golf,72.4,
G,Sahith Theegala (43746524),Sahith Theegala,43746524,G,7300,Wyndham Championship,Golf,71.2,
G,Emiliano Grillo (43746525),Emiliano Grillo,43746525,G,7300,Wyndham Championship,Golf,58,
G,Rasmus Neergaard-Petersen (43746526),Rasmus Neergaard-Petersen,43746526,G,7300,Wyndham Championship,Golf,61.5,
G,Sepp Straka (43746527),Sepp Straka,43746527,G,7300,Wyndham Championship,Golf,61.6,
G,Nick Taylor (43746528),Nick Taylor,43746528,G,7300,Wyndham Championship,Golf,65.5,
G,Marco Penge (43746529),Marco Penge,43746529,G,7200,Wyndham Championship,Golf,55.5,
G,Pierceson Coody (43746530),Pierceson Coody,43746530,G,7200,Wyndham Championship,Golf,59.9,
G,Johnny Keefer (43746531),Johnny Keefer,43746531,G,7200,Wyndham Championship,Golf,59.3,
G,Denny McCarthy (43746532),Denny McCarthy,43746532,G,7200,Wyndham Championship,Golf,60.7,
G,Jackson Suber (43746533),Jackson Suber,43746533,G,7200,Wyndham Championship,Golf,66.2,
G,Zac Blair (43746534),Zac Blair,43746534,G,7200,Wyndham Championship,Golf,73.8,
G,Jason Day (43746535),Jason Day,43746535,G,7200,Wyndham Championship,Golf,57.9,
G,Billy Horschel (43746536),Billy Horschel,43746536,G,7100,Wyndham Championship,Golf,52.4,
G,Kevin Yu (43746537),Kevin Yu,43746537,G,7100,Wyndham Championship,Golf,60.8,
G,Rico Hoey (43746538),Rico Hoey,43746538,G,7100,Wyndham Championship,Golf,61.6,
G,Tony Finau (43746539),Tony Finau,43746539,G,7100,Wyndham Championship,Golf,64.5,
G,Ricky Castillo (43746540),Ricky Castillo,43746540,G,7100,Wyndham Championship,Golf,72.6,
